序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
81,大页1H2-4,TS516,PDC,311.2,百施特,螺杆钻进,2024-09-28,1,嘉三段~嘉二2段,3386.67,3611.85,225.18,40.55,5.55,1.4,20~120,40~50,55~25,24~25,嘉三段,嘉二2段,20.0,120.0,40.0,50.0,55.0,25.0,24.0,25.0,1.0
82,大页1H2-4,TS516,PDC,311.2,百施特,复合钻进,2024-10-11,1,嘉二2段~嘉二2段,3611.85,3671.2,59.35,9.5,6.25,1.45,0~130,20~50,10~24,3~24,嘉二2段,嘉二2段,0.0,130.0,20.0,50.0,10.0,24.0,3.0,24.0,1.0
83,大页1H2-4,TS516,PDC,311.2,百施特,螺杆钻进,2024-10-20,1,嘉二1段~飞三段,3671.2,4332.0,660.8,92.83,7.12,1.45,20~150,20~72,20~23.5,12~23.5,嘉二1段,飞三段,20.0,150.0,20.0,72.0,20.0,23.5,12.0,23.5,1.0
84,大页1H2-4,SD6532,PDC,215.9,渤海中成,顶驱钻,2025-01-01,1,飞三段~飞三段,4332.0,4347.0,15.0,2.67,5.62,1.53,120~160,60~70,28~24.3,22~24.3,飞三段,飞三段,120.0,160.0,60.0,70.0,28.0,24.3,22.0,24.3,1.0
85,大页1H2-4,SD516,PDC,660.4,中成,顶驱钻,2024-08-09,1,沙溪庙组~沙溪庙组,0.0,50.0,50.0,3.0,16.67,1.07,60~80,60~60,70~12,8~12,沙溪庙组,沙溪庙组,60.0,80.0,60.0,60.0,70.0,12.0,8.0,12.0,1.0
86,大页1H2-4,DD505VSX,PDC,215.9,贝克休斯,螺杆钻进,2025-01-05,1,飞三段~吴家坪组,4347.0,5082.14,735.14,131.33,5.6,1.9,140~160,70~80,27~30,27~30,飞三段,吴家坪组,140.0,160.0,70.0,80.0,27.0,30.0,27.0,30.0,1.0
87,大页1H2-4,JT537GK,牙轮,444.5,宝石机械,顶驱钻,2024-08-11,1,沙溪庙组~沙溪庙组,50.0,55.0,5.0,2.0,2.5,1.07,14~140,60~60,70~80,6~80,沙溪庙组,沙溪庙组,14.0,140.0,60.0,60.0,70.0,80.0,6.0,80.0,1.0
88,大页1H2-4,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-01-15,1,吴家坪组~吴家坪组,5082.14,6291.0,1208.86,171.0,7.07,1.9,120~140,70~80,28~30,28~30,吴家坪组,吴家坪组,120.0,140.0,70.0,80.0,28.0,30.0,28.0,30.0,1.0
89,大页1H2-4,DD505VSX,PDC,215.9,贝克休斯,复合钻进,2025-01-28,1,吴家坪组~吴家坪组,6291.0,6975.0,684.0,79.5,8.6,1.9,120~140,70~80,28~38,33~38,吴家坪组,吴家坪组,120.0,140.0,70.0,80.0,28.0,38.0,33.0,38.0,1.0
90,大页1H3-1,SD6542B,PDC,311.2,渤海中成,复合钻进,2024-12-03,1,沙二段~沙二段,509.0,1642.87,1133.87,84.0,13.5,1.33,120~180,30~60,45~20.5,8~20.5,沙二段,沙二段,120.0,180.0,30.0,60.0,45.0,20.5,8.0,20.5,1.0
