井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B
大页1H3-2,SD6542B,PDC,311.20,渤海中成,复合钻进,2025-01-10,1,沙溪庙组~雷口坡组,2252.20,2697,444.80,78.50,5.67,1.35,160~160,60~60,65~13,13~13,沙溪庙组,雷口坡组,160,160,60,60,65,13,13,13
大页1H3-2,SD6542B,PDC,311.20,渤海中成,螺杆钻进,2025-01-15,1,雷口坡组~嘉二3段,2697,3365,668,83,8.05,1.37,0~180,0~60,55~18,0~18,雷口坡组,嘉二3段,0,180,0,60,55,18,0,18
大页1H3-2,SD6535ZC,PDC,215.90,渤海中成,复合钻进,2025-04-21,1,嘉二3段~嘉二3段,3365,3417.60,52.60,5,10.52,1.87,0~150,0~60,0~37,0~37,嘉二3段,嘉二3段,0,150,0,60,0,37,0,37
大页1H3-2,SD6535ZC,PDC,215.90,渤海中成,复合钻进,2025-04-23,2,嘉二3段~嘉二1段,3417.60,3475,57,7.50,14.67,1.87,0~150,0~60,0~31,0~31,嘉二3段,嘉二1段,0,150,0,60,0,31,0,31
大页1H3-2,SD6532,PDC,215.90,渤海中成,复合钻进,2025-04-23,1,嘉二1段~飞三段,3475,4069,594,55.50,10.70,1.87,120~150,60~60,32~34,32~34,嘉二1段,飞三段,120,150,60,60,32,34,32,34
大页1H3-2,NS519D,PDC,660.40,宝石机械,顶驱钻,2024-11-23,1,沙溪庙组~沙溪庙组,0,50,50,6,8.33,1.07,30~30,60~60,60~3,3~3,沙溪庙组,沙溪庙组,30,30,60,60,60,3,3,3
大页1H3-2,NS519D,PDC,444.50,宝石机械,螺杆钻进,2024-11-24,1,沙溪庙组~沙溪庙组,50,518,468,20,23.40,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160,160,60,60,70,12,12,12
大页1H3-2,SD6542B,PDC,311.20,渤海中成,顶驱钻,2025-01-04,1,沙溪庙~沙溪庙组,518,521,3,1,6,1.07,140~140,70~70,50~3,3~3,沙溪庙,沙溪庙组,140,140,70,70,50,3,3,3
大页1H3-2,NXT516,PDC,215.90,史密斯,复合钻进,2025-04-29,1,飞三段~吴家坪组,4069,5688,1619,269,6.02,1.95,0~130,60~80,29~33,30~33,飞三段,吴家坪组,0,130,60,80,29,33,30,33
大页1H3-2,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-05-18,2,吴家坪组~吴家坪组,5688,6640,952,125,7.62,1.95,0~160,0~60,0~35,0~35,吴家坪组,吴家坪组,0,160,0,60,0,35,0,35
大页1H3-3,ES1655EL,PDC,311.20,亿斯达,螺杆钻进,2024-12-04,1,沙溪庙组~沙溪庙组,508,1507.35,999.35,67.50,14.81,1.07,150~160,50~60,60~13,12~13,沙溪庙组,沙溪庙组,150,160,50,60,60,13,12,13
大页1H3-3,ES1655EL,PDC,311.20,亿斯达,螺杆钻进,2024-12-09,1,沙溪庙组~雷口坡组,1507.35,2709,1201.65,165,7.28,1.33,160~180,55~60,54.8~15.32,13~15.32,沙溪庙组,雷口坡组,160,180,55,60,54.8,15.32,13,15.32
大页1H3-3,HS5164BS,PDC,311.20,惠灵丰,螺杆钻进,2024-12-18,1,雷口坡组~嘉二3段,2709,3341.60,632.60,88,7.19,1.35,160~180,40~50,50~19,18~19,雷口坡组,嘉二3段,160,180,40,50,50,19,18,19
大页1H3-3,HS5164BS,PDC,311.20,惠灵丰,复合钻进,2024-12-26,1,嘉二3段~嘉二3段,3341.60,3374,32.40,13,2.49,1.37,100~120,60~80,50~11,10~11,嘉二3段,嘉二3段,100,120,60,80,50,11,10,11
大页1H3-3,SD6532H,PDC,215.90,渤海中成,螺杆钻进,2025-02-02,1,嘉二3段~飞仙关组,3374,4150,776,47,16.51,1.82,140~150,40~50,32~30,28~30,嘉二3段,飞仙关组,140,150,40,50,32,30,28,30
大页1H3-3,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-02-06,1,飞仙关组~飞仙关组,4150,4204.50,54.50,6,9.08,1.82,140~150,60~70,32~27,25~27,飞仙关组,飞仙关组,140,150,60,70,32,27,25,27
大页1H3-3,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-02-06,2,飞仙关组~吴家坪组,4204.50,4705,500.50,107,4.68,1.90,140~150,50~60,30~26,25~26,飞仙关组,吴家坪组,140,150,50,60,30,26,25,26
大页1H3-3,SKG124,牙轮,660.40,川石,顶驱钻,2024-11-27,1,沙溪庙组~沙溪庙组,0,50,50,5,8.33,1.07,50~50,60~60,70~3,3~3,沙溪庙组,沙溪庙组,50,50,60,60,70,3,3,3
大页1H3-3,NS519D,PDC,444.50,宝石机械,螺杆钻进,2024-11-28,1,沙溪庙组~沙溪庙组,50,508,458,18,25.44,1.07,160~160,60~60,70~12,12~12,沙溪庙组,沙溪庙组,160,160,60,60,70,12,12,12
大页1H3-3,DD505VSX,PDC,215.90,贝克休斯,螺杆钻进,2025-02-16,1,吴家坪组~吴家坪组,4705,5753,1048,134,7.82,1.85,120~150,60~70,28~36,34~36,吴家坪组,吴家坪组,120,150,60,70,28,36,34,36
